"filename", "language", "YAML", "Properties", "Markdown", "Makefile", "Docker", "Go Module File", "JSON", "TypeScript", "Go Checksum File", "Go", "TypeScript JSX", "SQLite", "Ignore", "JSON with Comments", "XML", "JavaScript", "PostCSS", "comment", "blank", "total"
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/inventory_svc_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 12, 104
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/loyalty_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 14, 16, 152
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/media_key.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 2, 16, 146
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/media_key_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 11, 169
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/media_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 524, 0, 0, 0, 0, 0, 0, 0, 44, 48, 616
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/media_svc_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 3, 10, 61
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/media_upload_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 45, 545
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/order_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0, 0, 0, 42, 48, 378
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/order_svc_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 6, 19, 165
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/payment_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 24, 34, 224
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/product_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 22, 56, 295
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/recipe_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 295, 0, 0, 0, 0, 0, 0, 0, 15, 46, 356
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/recommendation_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 22, 29, 240
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/referral_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 11, 16, 132
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/reset_pass_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 21, 30, 194
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/review_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 0, 0, 0, 12, 60, 358
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/review_svc_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 13, 123
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/search_summary_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 3, 11, 87
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/shipping_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 268, 0, 0, 0, 0, 0, 0, 0, 6, 51, 325
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/shipping_svc_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 30, 271
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/shipping_validation.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 16, 217
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/site_settings_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 7, 10, 53
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/subscription_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 3, 11, 93
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/tag_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 2, 25, 196
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/tag_svc_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 22, 193
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/taste_profile_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 7, 41
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/user_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 15, 40, 222
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/variant_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 2, 30, 160
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/wallet_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 39, 208
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/wallet_svc_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 10, 78
"/home/tiredboy/Projects/Rumera/apps/backend/internal/services/wishlist_svc.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 24, 108
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/analytics/20260526184552_create_events.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 14, 12, 67
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/analytics/20260526184615_create_daily_product_stats.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 12, 14, 65
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/analytics/20260526184623_create_daily_revenue_stats.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 14, 15, 66
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/analytics/20260526184627_create_search_summary.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 12, 12, 48
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/analytics/20260613110000_events_product_index.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 7, 2, 12
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/embed.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 4, 10
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260524003000_create_set_updated_at_function.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 3, 15
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260525210305_create_users_table.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 17, 48
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260525210306_create_roles_table.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 1, 10
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260525210307_create_permissions_table.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 1, 12
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260525210308_create_user_roles_table.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 2, 16
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260525210309_create_role_permissions_table.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 2, 13
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260526174025_create_password_resets.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 1, 12
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260526174030_create_addresses.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 13, 44
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260526174204_create_brands.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 3, 21
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260526174210_create_categories.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 3, 24
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260526174218_create_tags.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 3, 18
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260526174224_create_products.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 8, 42
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260526174239_create_product_tags.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 2, 10
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260526174307_create_option_types.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 3, 17
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260526174313_create_option_values.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 1, 11
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260526174324_create_product_variants.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 4, 21
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260526174331_create_product_variants_options.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 2, 10
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260526174332_create_product_images.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 3, 21
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260526174414_create_carts.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 4, 19
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260526174425_create_cart_items.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 5, 26
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260526174519_create_shipping_zones.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 6, 26
"/home/tiredboy/Projects/Rumera/apps/backend/migrations/main/20260526174520_create_shipping_methods.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 11, 44
